call_count,is_exported,used_in_tests,dynamic_call_risk,cyclomatic_complexity,file_depth,dead_code_probability,label
0,0,0,0.26,5,8,0.726,1
8,0,1,0.23,1,5,0.189,0
0,0,0,0.17,9,3,0.976,1
0,0,0,0.35,10,9,0.937,1
0,0,0,0.4,4,6,0.821,1
6,0,1,0.07,12,8,0.111,0
5,0,1,0.5,5,5,0.275,0
0,0,0,0.07,14,3,0.731,1
10,1,1,0.17,8,2,0.23,0
5,0,1,0.21,12,6,0.257,0
4,0,1,0.12,4,1,0.216,0
9,0,1,0.12,4,7,0.233,0
4,0,1,0.33,1,6,0.054,0
5,0,1,0.09,6,4,0.091,0
0,0,0,0.18,6,6,0.748,1
4,0,1,0.1,14,2,0.162,0
7,0,1,0.51,13,9,0.135,0
6,0,1,0.07,5,2,0.239,0
0,0,0,0.71,7,6,0.815,1
9,0,1,0.19,12,4,0.157,0
8,0,1,0.21,13,7,0.133,0
2,0,1,0.42,10,4,0.07,0
0,0,0,0.36,1,4,0.823,1
10,0,1,0.23,4,3,0.29,0
2,1,1,0.34,13,1,0.176,0
8,0,1,0.27,11,2,0.042,0
2,1,1,0.74,14,8,0.261,0
0,0,0,0.14,6,7,0.952,1
0,0,0,0.53,1,4,0.942,1
0,0,0,0.19,7,6,0.866,1
0,0,0,0.56,7,8,0.756,1
7,1,1,0.2,3,7,0.275,0
0,0,0,0.16,1,3,0.859,1
0,0,0,0.41,4,2,0.712,1
0,0,0,0.58,14,5,0.792,1
0,0,0,0.2,5,4,0.95,1
10,1,1,0.16,12,6,0.182,0
0,0,0,0.41,5,3,0.767,1
0,0,0,0.15,1,9,0.714,1
0,0,0,0.22,4,9,0.756,1
4,1,1,0.52,9,4,0.06,0
10,1,1,0.42,13,5,0.063,0
0,0,0,0.18,4,4,0.898,1
0,0,0,0.13,1,9,0.918,1
10,0,1,0.07,4,8,0.045,0
0,0,0,0.25,5,4,0.922,1
0,0,0,0.39,6,7,0.95,1
6,0,1,0.35,8,2,0.254,0
10,1,1,0.08,6,9,0.181,0
9,0,1,0.75,9,9,0.115,0
0,0,0,0.55,11,1,0.751,1
0,0,0,0.19,10,2,0.918,1
9,0,1,0.1,5,4,0.091,0
0,0,0,0.47,11,8,0.802,1
5,0,1,0.47,1,7,0.219,0
4,0,1,0.35,1,9,0.296,0
4,0,1,0.22,4,6,0.265,0
2,0,1,0.31,5,7,0.053,0
0,0,0,0.53,8,5,0.961,1
0,0,0,0.36,8,2,0.965,1
0,0,0,0.11,8,5,0.761,1
0,0,0,0.44,8,8,0.924,1
4,0,1,0.07,5,4,0.286,0
0,0,0,0.4,14,8,0.751,1
10,1,1,0.61,3,6,0.084,0
0,0,0,0.22,8,9,0.883,1
2,0,1,0.08,10,3,0.253,0
0,0,0,0.38,9,4,0.852,1
0,0,0,0.43,8,3,0.75,1
7,0,1,0.22,1,9,0.157,0
0,0,0,0.11,1,9,0.907,1
0,0,0,0.3,4,6,0.886,1
0,0,0,0.38,13,5,0.95,1
0,0,0,0.05,6,7,0.931,1
3,0,1,0.27,10,1,0.222,0
0,0,0,0.32,4,5,0.889,1
2,1,1,0.49,5,5,0.204,0
6,0,1,0.04,3,2,0.186,0
0,0,0,0.75,9,1,0.871,1
0,0,0,0.13,4,3,0.933,1
6,1,1,0.23,7,6,0.137,0
0,0,0,0.19,5,8,0.753,1
0,0,0,0.28,12,1,0.868,1
0,0,0,0.15,11,8,0.916,1
0,0,0,0.32,14,7,0.727,1
2,1,1,0.22,8,3,0.088,0
0,0,0,0.47,10,9,0.97,1
0,0,0,0.26,4,8,0.937,1
2,0,1,0.23,2,2,0.206,0
0,0,0,0.18,14,7,0.917,1
0,0,0,0.15,9,1,0.796,1
5,0,1,0.33,12,5,0.205,0
7,0,1,0.1,2,6,0.142,0
0,0,0,0.14,5,4,0.966,1
8,1,1,0.44,1,8,0.085,0
0,0,0,0.62,8,7,0.974,1
8,1,1,0.52,13,9,0.129,0
3,0,1,0.09,11,9,0.133,0
8,0,1,0.44,1,9,0.034,0
3,1,1,0.37,6,3,0.041,0
2,0,1,0.18,9,1,0.261,0
8,1,1,0.13,11,6,0.205,0
2,0,1,0.26,10,3,0.084,0
10,0,1,0.16,13,9,0.07,0
0,0,0,0.14,14,7,0.788,1
3,0,1,0.21,2,7,0.107,0
6,0,1,0.31,10,3,0.069,0
0,0,0,0.21,11,2,0.915,1
2,1,1,0.17,7,4,0.205,0
0,0,0,0.14,12,3,0.902,1
0,0,0,0.25,3,6,0.802,1
0,0,0,0.04,7,2,0.849,1
0,0,0,0.48,7,9,0.718,1
0,0,0,0.53,13,7,0.727,1
9,0,1,0.34,8,6,0.191,0
0,0,0,0.23,3,3,0.877,1
0,0,0,0.13,12,8,0.858,1
8,0,1,0.22,7,1,0.044,0
0,0,0,0.19,5,9,0.742,1
0,0,0,0.39,9,8,0.793,1
0,0,0,0.15,10,9,0.881,1
2,0,1,0.7,11,4,0.104,0
0,0,0,0.2,5,1,0.889,1
3,0,1,0.08,14,8,0.227,0
0,0,0,0.41,8,9,0.881,1
2,0,1,0.45,13,1,0.125,0
0,0,0,0.26,10,9,0.831,1
0,0,0,0.08,5,9,0.843,1
6,0,1,0.34,2,2,0.076,0
3,1,1,0.36,1,2,0.13,0
2,1,1,0.21,7,2,0.031,0
2,0,1,0.67,3,9,0.289,0
4,0,1,0.14,8,4,0.264,0
6,0,1,0.14,4,9,0.191,0
4,1,1,0.08,14,2,0.295,0
9,1,1,0.21,2,8,0.152,0
5,1,1,0.34,11,5,0.052,0
9,0,1,0.23,9,6,0.108,0
8,0,1,0.62,7,1,0.091,0
0,0,0,0.12,2,4,0.74,1
9,0,1,0.06,1,8,0.147,0
4,0,1,0.49,11,7,0.165,0
7,1,1,0.27,3,9,0.074,0
0,0,0,0.05,7,3,0.827,1
0,0,0,0.39,12,4,0.739,1
0,0,0,0.13,9,8,0.814,1
3,1,1,0.56,8,9,0.254,0
0,0,0,0.38,2,1,0.91,1
9,0,1,0.18,12,5,0.174,0
7,1,1,0.55,7,3,0.224,0
0,0,0,0.71,2,9,0.87,1
0,0,0,0.08,10,7,0.766,1
0,0,0,0.24,13,6,0.779,1
0,0,0,0.09,12,9,0.851,1
0,0,0,0.28,8,9,0.865,1
9,1,1,0.09,13,5,0.252,0
0,0,0,0.22,6,6,0.893,1
3,1,1,0.06,13,1,0.046,0
0,0,0,0.38,8,6,0.862,1
4,1,1,0.29,11,6,0.293,0
10,0,1,0.12,10,1,0.053,0
0,0,0,0.43,12,5,0.814,1
2,1,1,0.28,11,9,0.07,0
0,0,0,0.1,3,4,0.715,1
0,0,0,0.49,13,2,0.831,1
0,0,0,0.17,14,9,0.951,1
0,0,0,0.44,10,2,0.955,1
9,0,1,0.03,7,6,0.166,0
6,0,1,0.26,2,7,0.022,0
0,0,0,0.52,8,8,0.882,1
0,0,0,0.23,1,2,0.93,1
2,0,1,0.27,4,4,0.182,0
0,0,0,0.47,3,4,0.781,1
9,0,1,0.35,10,9,0.104,0
0,0,0,0.25,5,6,0.891,1
5,1,1,0.06,13,2,0.046,0
10,0,1,0.21,13,3,0.094,0
0,0,0,0.17,8,6,0.789,1
9,1,1,0.37,6,7,0.174,0
0,0,0,0.11,2,8,0.879,1
0,0,0,0.15,8,2,0.86,1
7,1,1,0.07,14,4,0.263,0
7,0,1,0.04,3,8,0.111,0
0,0,0,0.07,14,3,0.979,1
8,0,1,0.48,5,1,0.172,0
0,0,0,0.11,3,6,0.91,1
0,0,0,0.26,9,5,0.805,1
6,1,1,0.07,14,5,0.287,0
0,0,0,0.18,14,2,0.889,1
0,0,0,0.44,10,2,0.78,1
8,0,1,0.29,8,1,0.035,0
4,0,1,0.47,6,3,0.267,0
0,0,0,0.24,11,2,0.875,1
0,0,0,0.54,6,2,0.873,1
0,0,0,0.32,1,9,0.733,1
5,1,1,0.6,14,3,0.145,0
0,0,0,0.42,2,4,0.761,1
0,0,0,0.64,1,5,0.7,1
0,0,0,0.5,10,5,0.86,1
0,0,0,0.32,7,9,0.739,1
4,0,1,0.2,2,3,0.257,0
0,0,0,0.22,13,9,0.938,1
0,0,0,0.31,11,9,0.891,1
10,0,1,0.25,11,9,0.127,0
0,0,0,0.66,12,5,0.865,1
5,0,1,0.09,9,6,0.124,0
6,1,1,0.37,2,5,0.188,0
4,0,1,0.07,6,2,0.065,0
0,0,0,0.43,2,5,0.818,1
0,0,0,0.15,5,8,0.831,1
0,0,0,0.26,5,5,0.902,1
4,0,1,0.33,6,1,0.187,0
7,0,1,0.27,7,3,0.129,0
0,0,0,0.43,3,3,0.759,1
7,1,1,0.23,12,7,0.263,0
0,0,0,0.43,7,5,0.892,1
3,0,1,0.09,10,8,0.206,0
3,1,1,0.26,5,2,0.115,0
0,0,0,0.06,4,3,0.922,1
0,0,0,0.48,12,4,0.912,1
0,0,0,0.16,9,3,0.815,1
0,0,0,0.03,1,5,0.737,1
7,0,1,0.13,3,3,0.083,0
9,0,1,0.27,8,4,0.055,0
0,0,0,0.52,6,6,0.958,1
0,0,0,0.05,1,1,0.77,1
10,0,1,0.21,7,6,0.3,0
8,0,1,0.36,13,7,0.104,0
0,0,0,0.2,4,4,0.915,1
3,0,1,0.48,10,9,0.112,0
0,0,0,0.32,6,9,0.898,1
4,0,1,0.25,12,2,0.077,0
0,0,0,0.07,4,4,0.731,1
0,0,0,0.21,3,3,0.976,1
8,0,1,0.1,4,8,0.056,0
9,0,1,0.02,5,5,0.209,0
0,0,0,0.22,13,8,0.732,1
0,0,0,0.45,8,6,0.711,1
8,1,1,0.13,12,9,0.162,0
0,0,0,0.3,14,1,0.793,1
8,0,1,0.1,9,4,0.227,0
0,0,0,0.36,11,2,0.833,1
7,0,1,0.23,14,3,0.028,0
2,0,1,0.11,3,7,0.213,0
5,1,1,0.43,2,7,0.067,0
0,0,0,0.4,14,8,0.974,1
0,0,0,0.41,2,4,0.878,1
2,0,1,0.49,1,9,0.062,0
0,0,0,0.32,14,7,0.871,1
0,0,0,0.06,4,2,0.796,1
5,1,1,0.15,4,1,0.078,0
4,0,1,0.21,12,3,0.095,0
0,0,0,0.2,6,6,0.871,1
5,1,1,0.48,13,3,0.066,0
3,1,1,0.3,13,1,0.285,0
0,0,0,0.09,14,7,0.815,1
2,1,1,0.38,11,7,0.076,0
0,0,0,0.17,9,4,0.728,1
0,0,0,0.51,1,8,0.923,1
0,0,0,0.27,1,2,0.862,1
6,1,1,0.15,13,9,0.237,0
0,0,0,0.18,5,1,0.876,1
3,0,1,0.45,12,6,0.16,0
0,0,0,0.32,14,8,0.87,1
0,0,0,0.42,12,8,0.912,1
0,0,0,0.34,6,3,0.879,1
10,1,1,0.47,6,9,0.028,0
0,0,0,0.5,6,1,0.74,1
0,0,0,0.29,7,2,0.744,1
5,0,1,0.18,2,5,0.154,0
0,0,0,0.23,2,6,0.948,1
0,0,0,0.33,7,6,0.702,1
0,0,0,0.06,1,9,0.836,1
0,0,0,0.16,4,6,0.816,1
7,1,1,0.73,1,6,0.277,0
0,0,0,0.3,12,5,0.882,1
0,0,0,0.47,5,3,0.82,1
0,0,0,0.14,10,9,0.946,1
5,0,1,0.31,8,7,0.237,0
2,0,1,0.46,2,8,0.252,0
7,0,1,0.43,2,9,0.121,0
0,0,0,0.22,5,3,0.908,1
7,1,1,0.24,12,7,0.193,0
0,0,0,0.17,9,3,0.864,1
0,0,0,0.33,6,6,0.772,1
0,0,0,0.25,11,8,0.969,1
10,0,1,0.04,1,4,0.074,0
6,0,1,0.05,10,6,0.118,0
4,0,1,0.18,7,9,0.101,0
0,0,0,0.12,8,7,0.735,1
0,0,0,0.14,2,5,0.824,1
0,0,0,0.59,3,9,0.931,1
5,0,1,0.33,11,8,0.136,0
0,0,0,0.35,4,6,0.779,1
6,1,1,0.19,9,1,0.08,0
8,1,1,0.2,5,3,0.3,0
0,0,0,0.45,11,8,0.723,1
0,0,0,0.32,11,2,0.704,1
7,0,1,0.29,7,9,0.076,0
10,0,1,0.41,6,4,0.194,0
0,0,0,0.29,6,1,0.962,1
10,0,1,0.42,9,7,0.083,0
9,0,1,0.24,13,4,0.126,0
0,0,0,0.13,7,5,0.755,1
0,0,0,0.41,9,5,0.843,1
0,0,0,0.45,8,6,0.939,1
3,0,1,0.16,10,5,0.228,0
0,0,0,0.1,3,1,0.882,1
0,0,0,0.08,7,9,0.965,1
2,0,1,0.11,6,6,0.1,0
2,1,1,0.25,6,8,0.293,0
0,0,0,0.15,7,5,0.724,1
8,0,1,0.25,2,6,0.296,0
0,0,0,0.34,4,7,0.776,1
0,0,0,0.45,13,5,0.919,1
0,0,0,0.25,9,3,0.769,1
5,0,1,0.31,5,5,0.053,0
4,0,1,0.57,6,8,0.144,0
0,0,0,0.26,6,7,0.909,1
0,0,0,0.33,10,2,0.718,1
0,0,0,0.09,4,1,0.744,1
0,0,0,0.34,5,2,0.744,1
8,0,1,0.27,1,9,0.29,0
3,0,1,0.3,12,2,0.089,0
6,0,1,0.73,2,8,0.191,0
6,0,1,0.04,9,9,0.157,0
10,0,1,0.4,13,5,0.025,0
0,0,0,0.34,1,9,0.814,1
10,0,1,0.42,1,3,0.064,0
0,0,0,0.54,4,8,0.736,1
0,0,0,0.3,12,5,0.734,1
0,0,0,0.16,12,3,0.703,1
0,0,0,0.13,7,6,0.968,1
0,0,0,0.54,5,8,0.88,1
7,1,1,0.39,3,2,0.15,0
0,0,0,0.21,8,8,0.81,1
4,1,1,0.31,4,3,0.278,0
0,0,0,0.5,6,5,0.743,1
0,0,0,0.54,6,3,0.963,1
0,0,0,0.43,12,3,0.758,1
3,1,1,0.24,11,6,0.202,0
0,0,0,0.18,12,8,0.886,1
0,0,0,0.37,13,2,0.817,1
3,1,1,0.36,4,7,0.124,0
3,0,1,0.29,6,5,0.271,0
0,0,0,0.56,7,8,0.819,1
0,0,0,0.36,7,7,0.88,1
0,0,0,0.12,7,7,0.95,1
4,0,1,0.17,1,6,0.295,0
0,0,0,0.5,11,2,0.787,1
0,0,0,0.1,11,1,0.974,1
0,0,0,0.4,6,1,0.839,1
0,0,0,0.33,2,9,0.811,1
0,0,0,0.22,6,5,0.971,1
0,0,0,0.57,5,5,0.898,1
0,0,0,0.2,1,8,0.782,1
0,0,0,0.33,2,5,0.919,1
3,1,1,0.26,7,3,0.203,0
10,0,1,0.63,12,7,0.1,0
0,0,0,0.35,4,1,0.955,1
8,1,1,0.07,2,8,0.197,0
0,0,0,0.11,6,3,0.738,1
0,0,0,0.25,9,1,0.811,1
9,1,1,0.28,13,9,0.073,0
0,0,0,0.28,10,1,0.961,1
3,0,1,0.15,3,4,0.259,0
8,0,1,0.41,6,6,0.046,0
9,0,1,0.63,3,6,0.109,0
2,1,1,0.34,7,3,0.287,0
5,0,1,0.2,3,6,0.059,0
6,1,1,0.35,10,5,0.234,0
8,1,1,0.19,4,9,0.21,0
0,0,0,0.31,2,5,0.913,1
8,0,1,0.44,13,1,0.204,0
6,0,1,0.22,1,7,0.181,0
2,1,1,0.36,11,3,0.051,0
4,0,1,0.21,5,4,0.07,0
10,1,1,0.22,12,2,0.052,0
0,0,0,0.28,9,6,0.757,1
9,0,1,0.58,1,4,0.271,0
6,0,1,0.25,8,7,0.215,0
2,1,1,0.23,8,3,0.153,0
10,0,1,0.15,2,6,0.172,0
9,1,1,0.15,9,4,0.211,0
0,0,0,0.62,4,1,0.83,1
7,1,1,0.5,13,1,0.124,0
6,1,1,0.05,2,2,0.122,0
4,0,1,0.25,7,8,0.097,0
9,0,1,0.32,12,5,0.192,0
4,1,1,0.12,13,9,0.159,0
0,0,0,0.65,3,2,0.737,1
0,0,0,0.17,12,7,0.815,1
0,0,0,0.4,4,6,0.963,1
0,0,0,0.21,6,7,0.803,1
9,1,1,0.42,9,2,0.153,0
10,0,1,0.09,7,7,0.029,0
0,0,0,0.28,10,9,0.758,1
8,0,1,0.1,2,5,0.058,0
0,0,0,0.24,7,3,0.967,1
5,0,1,0.28,9,2,0.156,0
0,0,0,0.11,3,9,0.88,1
0,0,0,0.28,1,4,0.975,1
8,0,1,0.17,7,5,0.088,0
7,0,1,0.39,8,4,0.192,0
10,1,1,0.31,8,3,0.218,0
8,0,1,0.32,10,1,0.195,0
0,0,0,0.46,5,3,0.729,1
0,0,0,0.31,11,1,0.938,1
4,0,1,0.23,14,1,0.241,0
0,0,0,0.11,13,5,0.969,1
0,0,0,0.2,8,9,0.82,1
0,0,0,0.36,13,2,0.828,1
8,0,1,0.17,2,9,0.123,0
6,0,1,0.12,5,3,0.098,0
8,0,1,0.35,5,3,0.294,0
2,1,1,0.15,11,9,0.084,0
0,0,0,0.21,1,4,0.888,1
0,0,0,0.19,10,6,0.766,1
7,1,1,0.07,13,7,0.081,0
6,0,1,0.6,14,9,0.243,0
2,0,1,0.55,8,6,0.137,0
0,0,0,0.2,14,5,0.874,1
0,0,0,0.2,14,6,0.824,1
9,0,1,0.33,13,3,0.234,0
8,0,1,0.24,9,6,0.106,0
0,0,0,0.51,12,4,0.966,1
9,1,1,0.35,2,9,0.262,0
6,0,1,0.18,11,4,0.042,0
0,0,0,0.22,13,6,0.936,1
0,0,0,0.13,13,5,0.819,1
2,0,1,0.09,8,1,0.216,0
0,0,0,0.15,1,2,0.938,1
6,1,1,0.26,3,6,0.215,0
2,1,1,0.26,14,3,0.168,0
2,1,1,0.14,7,7,0.294,0
4,0,1,0.07,3,2,0.124,0
0,0,0,0.57,6,2,0.804,1
0,0,0,0.68,5,8,0.81,1
0,0,0,0.25,14,3,0.971,1
0,0,0,0.48,14,8,0.707,1
0,0,0,0.14,2,4,0.957,1
0,0,0,0.11,7,8,0.921,1
3,0,1,0.37,10,1,0.09,0
10,0,1,0.37,1,9,0.258,0
7,1,1,0.29,10,2,0.123,0
0,0,0,0.26,14,5,0.794,1
8,0,1,0.26,10,5,0.081,0
3,0,1,0.15,2,4,0.035,0
7,0,1,0.23,12,8,0.04,0
0,0,0,0.47,4,3,0.713,1
0,0,0,0.07,10,8,0.907,1
3,0,1,0.16,11,5,0.137,0
4,0,1,0.11,3,1,0.199,0
0,0,0,0.21,6,9,0.754,1
5,0,1,0.38,12,4,0.267,0
0,0,0,0.1,9,9,0.819,1
0,0,0,0.12,13,1,0.877,1
3,0,1,0.3,7,2,0.138,0
0,0,0,0.38,13,5,0.951,1
0,0,0,0.11,2,2,0.774,1
8,0,1,0.07,3,3,0.158,0
0,0,0,0.32,1,6,0.916,1
0,0,0,0.32,8,9,0.859,1
0,0,0,0.31,10,6,0.784,1
0,0,0,0.31,9,9,0.701,1
4,0,1,0.25,3,9,0.289,0
0,0,0,0.43,4,9,0.856,1
9,0,1,0.49,8,9,0.145,0
5,0,1,0.27,9,9,0.031,0
0,0,0,0.12,5,5,0.913,1
0,0,0,0.16,8,2,0.83,1
0,0,0,0.44,2,8,0.877,1
0,0,0,0.09,8,2,0.943,1
0,0,0,0.46,2,2,0.947,1
8,0,1,0.48,13,2,0.156,0
0,0,0,0.26,1,3,0.939,1
0,0,0,0.36,14,6,0.956,1
7,1,1,0.41,14,6,0.064,0
9,0,1,0.24,6,2,0.167,0
2,0,1,0.41,1,4,0.117,0
8,0,1,0.33,5,4,0.111,0
9,0,1,0.08,5,4,0.021,0
0,0,0,0.15,11,6,0.953,1
5,0,1,0.69,3,7,0.228,0
2,0,1,0.14,4,2,0.3,0
4,1,1,0.11,1,5,0.194,0
2,1,1,0.22,3,4,0.092,0
3,0,1,0.13,9,3,0.173,0
2,0,1,0.31,3,5,0.134,0
0,0,0,0.13,8,9,0.903,1
9,0,1,0.13,1,2,0.129,0
10,1,1,0.31,6,1,0.058,0
0,0,0,0.02,3,6,0.888,1
0,0,0,0.22,14,4,0.76,1
6,0,1,0.19,5,9,0.094,0
5,1,1,0.71,12,4,0.292,0
0,0,0,0.07,14,1,0.711,1
0,0,0,0.31,8,6,0.884,1
0,0,0,0.52,11,6,0.923,1
0,0,0,0.2,2,4,0.801,1
0,0,0,0.49,5,3,0.88,1
6,0,1,0.36,3,3,0.113,0
0,0,0,0.18,1,4,0.861,1
5,0,1,0.42,3,2,0.248,0
9,1,1,0.21,14,5,0.075,0
2,0,1,0.18,9,8,0.067,0
7,0,1,0.28,10,4,0.287,0
2,0,1,0.21,4,6,0.048,0
0,0,0,0.69,8,3,0.827,1
4,1,1,0.24,13,1,0.031,0
0,0,0,0.16,2,3,0.844,1
0,0,0,0.41,6,6,0.914,1
2,1,1,0.31,11,1,0.059,0
0,0,0,0.2,3,6,0.719,1
0,0,0,0.2,5,3,0.756,1
2,0,1,0.06,10,3,0.125,0
0,0,0,0.3,7,7,0.895,1
0,0,0,0.75,7,2,0.949,1
6,0,1,0.56,3,9,0.037,0
0,0,0,0.41,9,3,0.936,1
8,0,1,0.34,9,5,0.045,0
5,1,1,0.32,12,9,0.219,0
8,0,1,0.6,11,6,0.241,0
7,0,1,0.26,7,7,0.214,0
0,0,0,0.34,10,5,0.906,1
0,0,0,0.01,5,8,0.906,1
0,0,0,0.36,13,7,0.807,1
0,0,0,0.14,11,8,0.748,1
2,0,1,0.11,10,6,0.196,0
0,0,0,0.18,10,1,0.911,1
0,0,0,0.09,1,6,0.72,1
3,0,1,0.28,10,2,0.159,0
0,0,0,0.61,11,9,0.718,1
8,0,1,0.04,13,8,0.251,0
9,1,1,0.25,2,7,0.177,0
10,0,1,0.06,6,4,0.162,0
4,0,1,0.26,8,4,0.29,0
10,0,1,0.48,13,7,0.234,0
0,0,0,0.53,12,5,0.927,1
8,1,1,0.15,11,5,0.113,0
0,0,0,0.33,7,1,0.959,1
0,0,0,0.37,13,2,0.816,1
0,0,0,0.17,3,7,0.702,1
0,0,0,0.23,3,8,0.816,1
5,1,1,0.2,5,8,0.028,0
7,0,1,0.04,3,6,0.224,0
5,0,1,0.16,13,6,0.064,0
0,0,0,0.42,13,5,0.874,1
0,0,0,0.47,10,7,0.818,1
0,0,0,0.08,9,7,0.796,1
10,1,1,0.11,6,1,0.067,0
7,0,1,0.47,10,7,0.238,0
0,0,0,0.78,12,7,0.93,1
0,0,0,0.2,2,1,0.913,1
0,0,0,0.55,4,2,0.787,1
0,0,0,0.16,9,1,0.756,1
0,0,0,0.24,8,7,0.777,1
10,1,1,0.32,3,7,0.058,0
0,0,0,0.29,8,2,0.906,1
0,0,0,0.21,13,6,0.927,1
0,0,0,0.28,8,1,0.875,1
6,0,1,0.05,13,2,0.254,0
10,1,1,0.15,10,4,0.281,0
10,0,1,0.35,1,9,0.226,0
0,0,0,0.48,1,8,0.973,1
0,0,0,0.07,5,2,0.894,1
7,0,1,0.33,14,2,0.031,0
2,1,1,0.24,14,1,0.213,0
0,0,0,0.09,3,4,0.922,1
0,0,0,0.28,11,3,0.925,1
9,0,1,0.46,1,5,0.089,0
3,1,1,0.21,7,5,0.162,0
3,1,1,0.23,3,6,0.18,0
6,0,1,0.31,9,2,0.112,0
0,0,0,0.15,4,7,0.717,1
5,0,1,0.22,12,5,0.103,0
0,0,0,0.18,10,5,0.882,1
0,0,0,0.4,14,3,0.791,1
10,0,1,0.28,10,7,0.248,0
0,0,0,0.42,1,1,0.951,1
0,0,0,0.33,8,7,0.908,1
0,0,0,0.21,10,1,0.867,1
3,1,1,0.15,4,7,0.042,0
0,0,0,0.72,8,5,0.879,1
0,0,0,0.17,12,3,0.788,1
0,0,0,0.63,9,7,0.875,1
0,0,0,0.63,11,4,0.804,1
0,0,0,0.12,12,6,0.946,1
0,0,0,0.28,5,6,0.795,1
0,0,0,0.36,9,7,0.804,1
0,0,0,0.13,6,8,0.841,1
0,0,0,0.57,4,7,0.944,1
4,1,1,0.48,3,7,0.2,0
8,0,1,0.32,4,8,0.259,0
4,0,1,0.51,10,1,0.092,0
6,1,1,0.36,11,7,0.093,0
9,1,1,0.17,2,9,0.205,0
0,0,0,0.03,8,7,0.922,1
0,0,0,0.64,4,2,0.892,1
0,0,0,0.07,1,3,0.959,1
8,0,1,0.39,11,4,0.12,0
0,0,0,0.14,10,5,0.968,1
0,0,0,0.12,12,1,0.939,1
10,0,1,0.29,5,5,0.125,0
0,0,0,0.32,14,4,0.836,1
6,0,1,0.3,5,9,0.23,0
0,0,0,0.47,1,9,0.858,1
5,1,1,0.32,13,4,0.163,0
10,1,1,0.14,9,3,0.17,0
10,0,1,0.29,6,4,0.165,0
0,0,0,0.29,11,9,0.762,1
3,0,1,0.77,9,9,0.064,0
10,0,1,0.37,1,9,0.186,0
10,0,1,0.25,3,6,0.142,0
8,0,1,0.07,3,5,0.119,0
0,0,0,0.09,12,8,0.845,1
10,0,1,0.16,14,7,0.2,0
0,0,0,0.55,1,1,0.943,1
9,0,1,0.04,2,4,0.269,0
3,0,1,0.37,9,3,0.056,0
0,0,0,0.3,7,2,0.886,1
4,0,1,0.17,14,9,0.241,0
9,0,1,0.35,4,6,0.243,0
6,1,1,0.21,2,5,0.07,0
10,0,1,0.31,13,6,0.05,0
7,0,1,0.19,9,5,0.107,0
2,0,1,0.18,8,1,0.244,0
6,0,1,0.12,10,7,0.19,0
3,0,1,0.29,13,8,0.127,0
3,1,1,0.37,7,1,0.192,0
0,0,0,0.08,10,7,0.941,1
0,0,0,0.17,3,2,0.9,1
0,0,0,0.63,3,6,0.845,1
0,0,0,0.21,4,7,0.811,1
0,0,0,0.19,2,9,0.753,1
0,0,0,0.24,8,2,0.761,1
0,0,0,0.66,14,3,0.803,1
10,0,1,0.28,11,5,0.169,0
6,0,1,0.66,1,9,0.148,0
2,0,1,0.6,11,1,0.062,0
0,0,0,0.15,7,3,0.891,1
0,0,0,0.44,13,1,0.974,1
7,1,1,0.45,13,7,0.231,0
3,1,1,0.59,14,4,0.053,0
9,1,1,0.18,7,5,0.28,0
0,0,0,0.06,7,6,0.877,1
0,0,0,0.33,4,1,0.895,1
0,0,0,0.28,6,5,0.77,1
8,1,1,0.1,8,6,0.107,0
0,0,0,0.17,11,4,0.886,1
8,0,1,0.38,4,6,0.24,0
4,0,1,0.3,2,6,0.028,0
0,0,0,0.15,3,4,0.903,1
2,1,1,0.35,4,8,0.046,0
0,0,0,0.28,3,9,0.873,1
4,0,1,0.35,3,3,0.053,0
0,0,0,0.12,2,1,0.976,1
2,1,1,0.24,1,7,0.115,0
8,1,1,0.14,2,2,0.129,0
7,1,1,0.64,10,4,0.097,0
0,0,0,0.38,3,1,0.937,1
4,0,1,0.12,10,1,0.159,0
0,0,0,0.24,13,5,0.977,1
5,0,1,0.21,13,1,0.126,0
2,0,1,0.25,10,5,0.26,0
9,1,1,0.68,13,6,0.08,0
7,0,1,0.15,6,8,0.072,0
9,0,1,0.55,12,9,0.29,0
0,0,0,0.14,10,1,0.919,1
6,0,1,0.6,1,1,0.21,0
0,0,0,0.2,13,5,0.95,1
0,0,0,0.2,4,9,0.757,1
0,0,0,0.27,10,5,0.932,1
0,0,0,0.27,7,8,0.82,1
4,1,1,0.2,8,4,0.035,0
8,0,1,0.38,13,5,0.061,0
0,0,0,0.38,10,7,0.964,1
0,0,0,0.03,10,6,0.831,1
4,1,1,0.53,10,3,0.286,0
0,0,0,0.19,10,9,0.794,1
7,1,1,0.17,12,4,0.293,0
2,0,1,0.27,12,5,0.286,0
8,0,1,0.17,11,3,0.245,0
6,0,1,0.26,6,4,0.088,0
6,0,1,0.09,3,3,0.165,0
0,0,0,0.28,8,8,0.935,1
8,0,1,0.25,12,8,0.05,0
0,0,0,0.02,2,3,0.871,1
2,1,1,0.11,11,4,0.052,0
7,1,1,0.29,2,3,0.09,0
0,0,0,0.22,10,4,0.77,1
9,1,1,0.31,8,8,0.189,0
8,0,1,0.13,5,8,0.058,0
0,0,0,0.57,11,5,0.898,1
0,0,0,0.37,13,7,0.932,1
6,1,1,0.06,1,6,0.196,0
7,0,1,0.69,5,2,0.178,0
